st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
9,1992,Connecticut,CT,1616,682,578,0.458730161,0.541269839,31717.73047,3.171772957
10,1992,Delaware,DE,290,126,102,0.447368413,0.552631557,25352.26563,2.535226583
12,1992,Florida,FL,5314,2073,2173,0.511775792,0.488224208,22832.69531,2.283269644
13,1992,Georgia,GA,2321,1009,995,0.496506989,0.503493011,21331.91406,2.133191347
15,1992,Hawaii,HI,373,179,137,0.433544308,0.566455722,26939.1582,2.693915844
16,1992,Idaho,ID,482,137,203,0.597058833,0.402941167,19115.4082,1.911540866
17,1992,Illinois,IL,5050,2453,1734,0.414139003,0.585861027,25218.06836,2.521806717
18,1992,Indiana,IN,2306,848,989,0.538377762,0.461622208,21289.41797,2.128941774
19,1992,Iowa,IA,1355,586,505,0.462878108,0.537121892,21062.39844,2.106239796
20,1992,Kansas,KS,1157,390,450,0.535714269,0.464285702,22021.91602,2.202191591
21,1992,Kentucky,KY,1493,665,617,0.481279254,0.518720746,19207.10938,1.920710921
22,1992,Louisiana,LA,1790,816,733,0.473208517,0.526791453,18755.30859,1.875530839
23,1992,Maine,ME,679,263,207,0.440425545,0.559574485,20412.65625,2.041265726
24,1992,Maryland,MD,1985,989,707,0.416863203,0.583136797,26995.07422,2.699507475
25,1992,Massachusetts,MA,2774,1319,805,0.379001886,0.620998144,27441.2832,2.744128227
26,1992,Michigan,MI,4275,1871,1555,0.453882068,0.546117902,22744.34961,2.274435043
27,1992,Minnesota,MN,2348,1021,748,0.422837764,0.577162266,23980.08984,2.398009062
28,1992,Mississippi,MS,982,400,488,0.54954952,0.45045045,16281.58984,1.628158927
29,1992,Missouri,MO,2392,1054,811,0.43485254,0.56514746,21638.33203,2.163833141
30,1992,Montana,MT,411,155,144,0.481605351,0.518394649,18862.66797,1.886266828
31,1992,Nebraska,NE,738,217,344,0.613190711,0.38680926,21638.33203,2.163833141
32,1992,Nevada,NV,506,189,176,0.482191771,0.517808199,24696.93164,2.469693184
33,1992,New Hampshire,NH,538,209,202,0.491484195,0.508515835,24605.23047,2.460523129
34,1992,New Jersey,NJ,3344,1436,1357,0.485857487,0.514142513,29503.46289,2.950346231
35,1992,New Mexico,NM,570,262,213,0.448421061,0.551578939,18198.38672,1.819838643
36,1992,New York,NY,6927,3444,2347,0.405284047,0.594715953,27809.21094,2.780920982
37,1992,North Carolina,NC,2612,1114,1135,0.504668713,0.495331258,21071.3457,2.107134581
38,1992,North Dakota,ND,308,99,136,0.578723431,0.421276599,19759.55859,1.975955844
39,1992,Ohio,OH,4940,1985,1894,0.488270164,0.511729836,22435.69336,2.243569374
40,1992,Oklahoma,OK,1390,473,593,0.556285203,0.443714827,19431.89063,1.943189025
41,1992,Oregon,OR,1463,621,476,0.433910668,0.566089332,21510.84375,2.151084423
42,1992,Pennsylvania,PA,4960,2239,1792,0.444554687,0.555445313,23747.48047,2.374747992
44,1992,Rhode Island,RI,453,213,132,0.382608682,0.617391288,23335.93945,2.333593845
45,1992,South Carolina,SC,1203,480,578,0.546313822,0.453686208,18958.84375,1.895884395
46,1992,South Dakota,SD,336,125,137,0.52290076,0.47709924,19904.93945,1.990493894
47,1992,Tennessee,TN,1983,934,841,0.473802805,0.526197195,20774.99023,2.077498913
48,1992,Texas,TX,6154,2282,2496,0.5223943,0.4776057,21154.10156,2.115410089
49,1992,Utah,UT,744,183,323,0.638339937,0.361660093,18021.69336,1.802169323
50,1992,Vermont,VT,290,134,88,0.396396399,0.603603601,21320.73047,2.132073164
51,1992,Virginia,VA,2559,1039,1151,0.52557075,0.47442922,24391.63086,2.43916297
53,1992,Washington,WA,2288,993,731,0.424013913,0.575986087,24277.5625,2.42775631
54,1992,West Virginia,WV,684,331,242,0.422338575,0.577661455,18018.33789,1.801833749
55,1992,Wisconsin,WI,2531,1041,931,0.472109526,0.527890444,22011.84961,2.201184988
56,1992,Wyoming,WY,201,68,79,0.537414968,0.462585032,21634.97656,2.163497686
1,1996,Alabama,AL,1534,662,769,0.537386417,0.462613553,20081,2.008100033
2,1996,Alaska,AK,242,80,123,0.605911314,0.394088656,25805.00195,2.580500126
4,1996,Arizona,AZ,1404,653,622,0.487843126,0.512156844,20823,2.082299948
5,1996,Arkansas,AR,884,475,325,0.40625,0.59375,18926,1.89260006
6,1996,California,CA,10019,5120,3828,0.427805096,0.572194874,25312.00195,2.531200171
8,1996,Colorado,CO,1511,671,692,0.507703602,0.492296398,25570.00195,2.55700016
9,1996,Connecticut,CT,1393,736,483,0.396226406,0.603773594,32424.00195,3.242400169
10,1996,Delaware,DE,271,140,99,0.414225936,0.585774064,25727.00195,2.572700262
12,1996,Florida,FL,5304,2547,2245,0.46848914,0.53151083,23655,2.365499973
13,1996,Georgia,GA,2299,1054,1081,0.506323159,0.493676811,22945,2.294500113
15,1996,Hawaii,HI,360,205,114,0.357366771,0.6426332,25024,2.502399921
16,1996,Idaho,ID,492,165,257,0.609004736,0.390995264,20248,2.024800062
17,1996,Illinois,IL,4311,2342,1587,0.403919578,0.596080422,26449.00195,2.644900084
18,1996,Indiana,IN,2136,887,1007,0.531678975,0.468321025,22368,2.236799955
19,1996,Iowa,IA,1234,620,493,0.442947,0.55705303,22521,2.252099991
20,1996,Kansas,KS,1074,388,583,0.600411952,0.399588048,22845,2.284499884
21,1996,Kentucky,KY,1389,637,623,0.49444443,0.50555557,19854,1.985399961
22,1996,Louisiana,LA,1784,928,713,0.434491158,0.565508842,19786,1.978600025
23,1996,Maine,ME,606,313,186,0.372745484,0.627254486,21203,2.120300055
24,1996,Maryland,MD,1781,966,682,0.413834959,0.586165071,27393.00195,2.739300251
25,1996,Massachusetts,MA,2557,1572,718,0.313537121,0.686462879,28933.00195,2.893300295
26,1996,Michigan,MI,3849,1990,1481,0.426678181,0.573321819,24306,2.430599928
27,1996,Minnesota,MN,2193,1120,766,0.406150579,0.593849421,25716.00195,2.571600199
28,1996,Mississippi,MS,894,394,440,0.527577937,0.472422063,17702,1.770200014
29,1996,Missouri,MO,2158,1026,890,0.464509398,0.535490632,22548,2.254800081
30,1996,Montana,MT,407,168,180,0.517241359,0.482758611,19047,1.904700041
31,1996,Nebraska,NE,677,237,363,0.605000019,0.395000011,23530,2.352999926
32,1996,Nevada,NV,464,204,199,0.493796527,0.506203473,26085.00195,2.608500242
33,1996,New Hampshire,NH,499,246,196,0.443438917,0.556561112,26427.00195,2.642700195
34,1996,New Jersey,NJ,3076,1652,1103,0.400362968,0.599637032,30470.00195,3.04700017
35,1996,New Mexico,NM,556,273,233,0.460474312,0.539525688,19029,1.902899981
36,1996,New York,NY,6316,3756,1933,0.339778513,0.660221457,28424.00195,2.842400312
37,1996,North Carolina,NC,2516,1108,1226,0.525278509,0.474721521,22320,2.232000113
38,1996,North Dakota,ND,266,107,125,0.538793087,0.461206883,21068,2.106800079
39,1996,Ohio,OH,4534,2148,1860,0.46407187,0.53592813,23322,2.33220005
40,1996,Oklahoma,OK,1207,488,582,0.543925226,0.456074774,19743,1.974300027
41,1996,Oregon,OR,1378,650,538,0.452861965,0.547138035,23398,2.339799881
42,1996,Pennsylvania,PA,4506,2216,1801,0.448344529,0.551655471,24344,2.434400082
44,1996,Rhode Island,RI,390,233,105,0.310650885,0.689349115,24106,2.410599947
45,1996,South Carolina,SC,1152,506,573,0.531047285,0.468952745,20058,2.005800009
46,1996,South Dakota,SD,324,139,151,0.520689666,0.479310334,21488,2.148799896
47,1996,Tennessee,TN,1894,909,864,0.487309635,0.512690365,21854,2.185400009
48,1996,Texas,TX,5612,2460,2736,0.526558876,0.473441094,22120,2.211999893
49,1996,Utah,UT,666,222,362,0.619863033,0.380136997,19529,1.952900052
50,1996,Vermont,VT,258,138,80,0.366972476,0.633027494,21964,2.196399927
51,1996,Virginia,VA,2417,1091,1138,0.51054287,0.48945716,25034,2.503400087
53,1996,Washington,WA,2254,1123,841,0.428207725,0.571792245,25073,2.5072999
54,1996,West Virginia,WV,636,328,234,0.416370094,0.583629906,18445,1.844499946
55,1996,Wisconsin,WI,2196,1072,845,0.440792918,0.559207082,23273,2.327300072
56,1996,Wyoming,WY,212,78,105,0.573770463,0.426229507,21875,2.1875
1,2000,Alabama,AL,1666,693,941,0.575887382,0.424112618,21656.20898,2.165620804
2,2000,Alaska,AK,286,79,167,0.678861797,0.321138203,27209.66797,2.720966816
4,2000,Arizona,AZ,1532,685,782,0.53306067,0.46693933,23381.01563,2.338101625
5,2000,Arkansas,AR,922,423,473,0.527901769,0.472098202,19977.87109,1.997787118
6,2000,California,CA,10966,5861,4567,0.437955499,0.562044501,29581.39063,2.958139181
8,2000,Colorado,CO,1741,738,884,0.545006156,0.454993844,30405.98047,3.040598154
9,2000,Connecticut,CT,1460,816,561,0.407407403,0.592592597,37808.16406,3.780816317
10,2000,Delaware,DE,328,180,137,0.43217665,0.56782335,28128.10742,2.812810659
12,2000,Florida,FL,5963,2912,2913,0.500085831,0.499914169,25977.79297,2.597779274
13,2000,Georgia,GA,2597,1116,1420,0.559936881,0.440063089,25502.17383,2.55021739
15,2000,Hawaii,HI,368,205,138,0.402332366,0.597667634,25892.14453,2.589214563
16,2000,Idaho,ID,502,139,337,0.707983196,0.292016804,21936.84375,2.19368434
17,2000,Illinois,IL,4742,2589,2019,0.438151032,0.561848938,29327.17969,2.932718039
18,2000,Indiana,IN,2199,902,1246,0.580074489,0.419925511,24723.14063,2.472314119
19,2000,Iowa,IA,1316,639,634,0.498036146,0.501963854,24194.67383,2.419467449
20,2000,Kansas,KS,1072,399,622,0.609206676,0.390793353,25233.38281,2.523338318
21,2000,Kentucky,KY,1544,639,872,0.577101231,0.42289874,22244.8125,2.224481344
22,2000,Louisiana,LA,1766,792,928,0.539534867,0.460465103,21029.33789,2.102933884
23,2000,Maine,ME,652,320,287,0.472817123,0.527182877,23664.38281,2.366438389
24,2000,Maryland,MD,2020,1141,814,0.416368276,0.583631694,31213.25977,3.12132597
25,2000,Massachusetts,MA,2703,1616,879,0.352304608,0.647695363,34401.375,3.440137386
26,2000,Michigan,MI,4233,2170,1953,0.473684222,0.526315808,26927.21094,2.692721128
27,2000,Minnesota,MN,2439,1168,1110,0.487269521,0.512730479,29173.19531,2.917319536
28,2000,Mississippi,MS,994,405,573,0.585889578,0.414110422,19140.52539,1.914052486
29,2000,Missouri,MO,2360,1111,1190,0.517166436,0.482833564,24822.45508,2.482245445
30,2000,Montana,MT,411,137,240,0.636604786,0.363395214,20894.48828,2.089448929
31,2000,Nebraska,NE,697,232,434,0.65165168,0.348348349,25172.33594,2.51723361
32,2000,Nevada,NV,609,280,302,0.518900335,0.481099665,27733.57813,2.773357868
33,2000,New Hampshire,NH,569,266,274,0.507407427,0.492592603,30430.58203,3.043058157
34,2000,New Jersey,NJ,3187,1789,1284,0.417832732,0.582167268,34962.64063,3.496263981
35,2000,New Mexico,NM,599,287,286,0.499127388,0.500872612,20167.39063,2.01673913
36,2000,New York,NY,6822,4108,2403,0.369067729,0.630932271,31799.12891,3.179912806
37,2000,North Carolina,NC,2911,1258,1631,0.564555228,0.435444802,24665.73828,2.466573715
38,2000,North Dakota,ND,288,95,175,0.648148119,0.351851851,22878.06055,2.287806034
39,2000,Ohio,OH,4702,2184,2350,0.518306136,0.481693864,25701.71484,2.570171595
40,2000,Oklahoma,OK,1234,474,744,0.61083746,0.38916257,22241.16797,2.224116802
41,2000,Oregon,OR,1534,720,714,0.497907937,0.502092063,25603.31055,2.560331106
42,2000,Pennsylvania,PA,4913,2486,2281,0.478498012,0.521502018,27058.41602,2.705841541
44,2000,Rhode Island,RI,409,250,131,0.343832016,0.656167984,26620.1543,2.662015438
45,2000,South Carolina,SC,1383,566,786,0.581360936,0.418639064,22255.74609,2.225574493
46,2000,South Dakota,SD,316,119,191,0.616129041,0.383870959,23436.5957,2.343659639
47,2000,Tennessee,TN,2076,982,1062,0.519569457,0.480430514,23780.09961,2.378010035
48,2000,Texas,TX,6408,2434,3800,0.60956049,0.39043951,25797.38477,2.579738379
49,2000,Utah,UT,771,203,515,0.717270195,0.282729805,21756.43555,2.175643444
50,2000,Vermont,VT,294,149,120,0.446096659,0.553903341,25220.62695,2.522062778
51,2000,Virginia,VA,2739,1217,1437,0.541446865,0.458553135,28322.18164,2.83221817
53,2000,Washington,WA,2487,1248,1109,0.470513374,0.529486656,28956.3418,2.895634174
54,2000,West Virginia,WV,648,295,336,0.532488108,0.467511892,19955.0918,1.995509148
55,2000,Wisconsin,WI,2599,1243,1237,0.498790324,0.501209676,26034.28516,2.603428602
56,2000,Wyoming,WY,218,60,148,0.711538434,0.288461536,25934.05859,2.593405962
