st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
17,1972,Illinois,IL,4723,1913,2788,0.593065321,0.406934708,19755.13672,1.975513697
18,1972,Indiana,IN,2126,709,1405,0.664616823,0.335383147,16620.89063,1.662089109
19,1972,Iowa,IA,1226,496,706,0.587354422,0.412645578,16842.35156,1.684235215
20,1972,Kansas,KS,916,270,620,0.696629226,0.303370774,17326.56445,1.732656479
21,1972,Kentucky,KY,1067,371,676,0.645654261,0.354345739,13873.26367,1.38732636
22,1972,Louisiana,LA,1051,298,687,0.697461903,0.302538067,13430.33984,1.343034029
23,1972,Maine,ME,417,161,256,0.613908887,0.386091113,14485.09863,1.448509812
24,1972,Maryland,MD,1354,506,829,0.620973766,0.379026204,19826.45508,1.982645512
25,1972,Massachusetts,MA,2459,1333,1112,0.454805732,0.545194268,19177.08398,1.917708397
26,1972,Michigan,MI,3490,1459,1962,0.573516488,0.426483482,18644.07422,1.86440742
27,1972,Minnesota,MN,1742,802,898,0.528235316,0.471764714,17322.81055,1.732281089
28,1972,Mississippi,MS,646,127,505,0.799050629,0.200949371,11962.68652,1.196268678
29,1972,Missouri,MO,1853,699,1154,0.622773886,0.377226114,16695.96289,1.669596314
30,1972,Montana,MT,318,120,184,0.605263174,0.394736856,16260.5459,1.626054645
31,1972,Nebraska,NE,576,170,406,0.704861104,0.295138896,16992.49609,1.699249625
32,1972,Nevada,NV,182,66,116,0.637362659,0.362637371,20892.47461,2.089247465
33,1972,New Hampshire,NH,334,116,214,0.648484826,0.351515144,16587.10742,1.658710718
34,1972,New Jersey,NJ,2997,1102,1846,0.626187265,0.373812765,20716.05469,2.071605444
35,1972,New Mexico,NM,386,141,236,0.625994682,0.374005318,14083.46484,1.408346534
36,1972,New York,NY,7162,2951,4193,0.586926103,0.413073897,20753.5918,2.075359106
37,1972,North Carolina,NC,1519,439,1055,0.706157982,0.293842047,14578.93848,1.457893848
38,1972,North Dakota,ND,281,100,174,0.635036469,0.364963502,16470.74609,1.64707458
39,1972,Ohio,OH,4095,1559,2442,0.61034739,0.38965258,17585.5625,1.758556247
40,1972,Oklahoma,OK,1030,247,759,0.75447315,0.245526835,15078.16504,1.507816553
41,1972,Oregon,OR,928,393,487,0.5534091,0.4465909,17285.27539,1.728527546
42,1972,Pennsylvania,PA,4592,1797,2715,0.601728737,0.398271263,17566.79492,1.756679535
44,1972,Rhode Island,RI,416,195,220,0.530120492,0.469879508,17337.82617,1.733782649
45,1972,South Carolina,SC,678,189,478,0.716641665,0.283358335,13482.89063,1.348289013
46,1972,South Dakota,SD,307,140,166,0.542483687,0.457516342,15277.10547,1.527710557
47,1972,Tennessee,TN,1201,357,813,0.694871783,0.305128217,14248.62207,1.424862266
48,1972,Texas,TX,3471,1154,2299,0.66579783,0.334202141,15693.75391,1.569375396
49,1972,Utah,UT,478,126,324,0.720000029,0.280000001,14939.28223,1.493928194
50,1972,Vermont,VT,187,68,117,0.632432461,0.367567569,15588.65332,1.558865309
51,1972,Virginia,VA,1457,439,988,0.692361593,0.307638407,16834.8457,1.683484554
53,1972,Washington,WA,1471,568,837,0.59572953,0.40427047,17724.44531,1.772444487
54,1972,West Virginia,WV,762,277,485,0.636482954,0.363517046,13786.93066,1.378693104
55,1972,Wisconsin,WI,1853,810,989,0.549749851,0.450250149,17255.24609,1.725524664
56,1972,Wyoming,WY,146,44,100,0.694444418,0.305555552,17600.57617,1.760057569
1,1976,Alabama,AL,1183,659,504,0.433362007,0.566637993,14647.67578,1.464767575
2,1976,Alaska,AK,124,44,72,0.620689631,0.37931034,33434.3125,3.343431234
4,1976,Arizona,AZ,743,296,419,0.586013973,0.413986027,16740.5957,1.674059629
